Type	Gene
Basal	Acta2
Basal	Krt14
Basal	Krt17
Basal	Tagln
Basal	Cxcl14
Basal	Mt1
Basal	Tpm2
Basal	Apoe
Basal	Mt2
Basal	1500015O10Rik
Basal	Adamts1
Basal	Sparc
Basal	Cald1
Basal	Thbs1
Basal	Il17b
Basal	Myh11
Basal	Fst
Basal	Krt5
Basal	Mgp
Basal	Ifitm3
Basal	Cnn1
Basal	Myl9
Basal	Lgals7
Basal	Mylk
Basal	Ctsl
Basal	Palld
Basal	Rbpms
Basal	Tpm1
Basal	Gja1
Basal	Col4a1
Basal	Flna
Basal	Postn
Basal	Pmepa1
Basal	Selenom
Basal	Igfbp3
Basal	Aebp1
Basal	Cotl1
Basal	Col4a2
Basal	Scn7a
Basal	Mdk
Basal	Tshz2
Basal	Pxdc1
Basal	Serpinh1
Basal	Emb
Basal	Cpne8
Basal	Col14a1
Basal	Cxcl12
Basal	Myl6
Basal	Igfbp7
Basal	Tgfbr3
Basal	Wif1
Basal	Lhfp
Basal	Col9a2
Basal	Id4
Basal	Mmp2
Basal	Lmo1
Basal	Pltp
Basal	Rnase4
Basal	Rcn3
Basal	Vim
Basal	Bgn
Basal	Dpysl3
Basal	Rbp1
Basal	Plxdc2
Basal	Nop58
Basal	Col17a1
Basal	Gas1
Basal	Phlda3
Basal	Tenm2
Basal	Fam129a
Basal	Icam1
Basal	Aldh2
Basal	Pdpn
Basal	Col9a3
Basal	Lgals1
Basal	Fstl1
Basal	Nfix
Basal	Has2
Basal	Ctgf
Basal	Cacna2d1
Basal	Antxr1
Basal	Pros1
Basal	Map1lc3a
Basal	Cdh3
Basal	Eln
Basal	Slpi
Basal	Pmp22
Basal	Dstn
Basal	Smtn
Basal	Mia
Basal	Lama3
Basal	Stac2
Basal	Timp3
Basal	Prss23
Basal	Csrp1
Basal	Col16a1
Basal	Dusp6
Basal	Wnt10a
Basal	Cda
Basal	Chil1
Basal	Moxd1
Basal	Fbln2
Basal	Col12a1
Basal	Clic4
Basal	Sema3c
Basal	Cebpb
Basal	Tgfb1i1
Basal	Lrp1
