Type	Gene
LP	Lalba
LP	Slc34a2
LP	Csn3
LP	Cyp24a1
LP	Pigr
LP	Kit
LP	Elf5
LP	Ncald
LP	S100a8
LP	Folr1
LP	Slc28a3
LP	Lbp
LP	Atp6v1b1
LP	Pdzk1ip1
LP	Sorbs2
LP	Cldn1
LP	Gjb2
LP	Rasgef1c
LP	Wfdc3
LP	Il4i1
LP	Anpep
LP	C3
LP	Foxi1
LP	Tspan33
LP	Xdh
LP	Tnfaip2
LP	Bbox1
LP	Mfi2
LP	Slc13a2
LP	Rasal1
LP	Cxcr4
LP	C1qtnf1
LP	Cd14
LP	Hapln3
LP	Accn2
LP	Plb1
LP	Galntl2
LP	Atp6v1c2
LP	Aldh1a3
LP	Sectm1a
LP	Qpct
LP	Acsl1
LP	D7Ertd443e
LP	Rps6kl1
LP	Ctsc
LP	Hivep3
LP	Rftn2
LP	Ckmt1
LP	Ggt5
LP	Il15
LP	Csn2
LP	Ccdc88b
LP	Noxo1
LP	Dapp1
LP	Gne
LP	Itpr2
LP	Hsd17b12
LP	Lpcat1
Luminal H-S	Foxa1
Luminal H-S	Dnajc12
Luminal H-S	Mlph
Luminal H-S	Spink3
Luminal H-S	Rasef
Luminal H-S	Batf
Luminal H-S	Tox3
Luminal H-S	Hmgcs2
Luminal H-S	Eef1a2
Luminal H-S	Cited1
Luminal H-S	Abcc8
Luminal H-S	Prlr
Luminal H-S	Slc7a2
Luminal H-S	Slc16a5
Luminal H-S	Aldh3b2
Luminal H-S	Slc40a1
Luminal H-S	Wnt4
Luminal H-S	Spdef
Luminal H-S	Reep6
Luminal H-S	Sult2b1
Luminal H-S	Pgr
Luminal H-S	Pvalb
Luminal H-S	Mboat1
Luminal H-S	Tnfsf11
Luminal H-S	Tgm2
Luminal H-S	Mfsd7c
Luminal H-S	Faah
Luminal H-S	Slc22a18
Luminal H-S	Esr1
Luminal H-S	Myb
Luminal H-S	Wnk4
Luminal H-S	Fgl1
Luminal H-S	C630004H02Rik
Luminal H-S	Alcam
Luminal H-S	D10Bwg1379e
Luminal H-S	Tspan1
Luminal H-S	Fer1l4
Luminal H-S	Wnt5a
Luminal H-S	Tbx3
Luminal H-S	Plekhg3
Luminal H-S	Sort1
Luminal H-S	2610528J11Rik
Luminal H-S	Ccdc92
Luminal H-S	Slc44a4
Luminal H-S	Sprr1a
Luminal H-S	Atp6v0e2
Luminal H-S	Gale
Luminal H-S	Trim6
Luminal H-S	Tspan13
Luminal H-S	Prom2
Luminal H-S	2900006K08Rik
Luminal H-S	Wnt7b
Luminal H-S	Psd4
Luminal H-S	Casz1
Luminal H-S	Dusp10
Luminal H-S	Pvrl4
Luminal H-S	Phka1
Luminal H-S	Gprc5c
Luminal H-S	Pon3
Luminal H-S	Hdac11
Luminal H-S	Hist1h4k
Luminal H-S	Klhl5
Luminal H-S	Tmem8
Luminal H-S	Ptpn6
Luminal H-S	Fgf13
Luminal H-S	Gadd45g
Luminal H-S	1600016N20Rik
Luminal H-S	Slc7a4
Luminal H-S	Il13ra1
Luminal H-S	Fyco1
Luminal H-S	Zscan18
Luminal H-S	Rabl3
Luminal H-S	Meis3
Luminal H-S	Fam63a
Luminal H-S	Hes6
Luminal H-S	Cacnb3
Luminal H-S	G6pdx
Luminal H-S	Aldh3b1
Luminal H-S	Eps8l1
Luminal H-S	Lnx2
Luminal H-S	Tmco3
Luminal H-S	6030429G01Rik
Luminal H-S	Trp53inp2
Luminal H-S	Fbxo36
Luminal H-S	D16H22S680E
Luminal H-S	Sgms1
Luminal H-S	Hoxb2
Luminal H-S	Ern1
Luminal H-S	Hipk2
Luminal H-S	Ankmy2
Luminal H-S	Zfhx2
Luminal H-S	Lama5
Luminal H-S	Slc25a23
Luminal H-S	Hsd11b2
Luminal H-S	Yipf6
Luminal H-S	Aqp11
Luminal H-S	Lrrc48
Luminal H-S	Gmpr
Luminal H-S	Hist1h4j
Luminal H-S	Acpl2
Luminal H-S	Cacng4
Luminal H-S	Acot11
Luminal H-S	Meis1
Luminal H-S	Lpin2
Luminal H-S	Tmprss6
Luminal H-S	Scmh1
Luminal H-S	Pak4
Luminal H-S	Tubg1
Luminal H-S	Vopp1
Luminal H-S	Abca7
Luminal H-S	Zdhhc1
Luminal H-S	Whsc1l1
Luminal H-S	Edem1
Luminal H-S	Btrc
Luminal H-S	Vps33b
Luminal H-S	Kbtbd4
Basal	Col17a1
Basal	Trp63
Basal	1500015O10Rik
Basal	Ccnd2
Basal	Dlk2
Basal	Krt5
Basal	Actg2
Basal	Myh11
Basal	Ism1
Basal	Mylk
Basal	Igfbp2
Basal	Sobp
Basal	Pdpn
Basal	Lama1
Basal	Dkk3
Basal	Kcnmb1
Basal	Il17b
Basal	9030425E11Rik
Basal	Adamts1
Basal	Irx4
Basal	Dll1
Basal	Myl9
Basal	Pros1
Basal	Cxcl14
Basal	Col7a1
Basal	Igfbp3
Basal	Ephb1
Basal	Msrb3
Basal	Snai2
Basal	Tpm2
Basal	Sparc
Basal	Cpne8
Basal	Gm106
Basal	Wif1
Basal	Tagln
Basal	Lama3
Basal	Mme
Basal	Fhod3
Basal	Pamr1
Basal	Sulf1
Basal	Krt14
Basal	Aebp1
Basal	Arc
Basal	Col4a2
Basal	Slc1a3
Basal	Fst
Basal	Sema5a
Basal	Tgfb1i1
Basal	Apoe
Basal	Arhgap25
Basal	Col14a1
Basal	Ntf3
Basal	Angptl2
Basal	Elovl4
Basal	Cnn1
Basal	Fjx1
Basal	Oxtr
Basal	Tshz2
Basal	Gypc
Basal	Col18a1
Basal	Nudt11
Basal	Ppp1r14a
Basal	Tro
Basal	Col4a1
Basal	Postn
Basal	Dpysl3
Basal	Hs3st3a1
Basal	Lhfp
Basal	Tns4
Basal	Cald1
Basal	Nrg1
Basal	Synm
Basal	Schip1
Basal	Lrrc8c
Basal	Itm2a
Basal	Meg3
Basal	Rasip1
Basal	Vcan
Basal	Mamdc2
Basal	Timp3
Basal	Cdh3
Basal	Bmp7
Basal	Reln
Basal	Psd2
Basal	Osr1
Basal	Odz3
Basal	Fmod
Basal	Thy1
Basal	Stac2
Basal	Arhgap24
Basal	Lamb1-1
Basal	Enc1
Basal	Tpst1
Basal	Ngfr
Basal	Id4
Basal	Ndn
Basal	Btbd11
Basal	Gja1
Basal	Itga1
Basal	Lmod1
Basal	Fbln1
Basal	Scarf2
Basal	Sema3c
Basal	Mrvi1
Basal	Tmem178
Basal	Tshz3
Basal	Ppp1r3c
Basal	Cdh13
Basal	Tgfbr3
Basal	Gng11
Basal	Enpp2
Basal	Axl
Basal	Htra1
Basal	Acta2
Basal	Jam2
Basal	Lgals7
Basal	Sox11
Basal	Cd70
Basal	Rasl12
Basal	Maob
Basal	Jam3
Basal	Snca
Basal	Pvrl3
Basal	Antxr1
Basal	Gnai1
Basal	Fabp5
Basal	Itga9
Basal	Vsnl1
Basal	Ucn2
Basal	Pgf
Basal	Sorbs1
Basal	Arhgap20
Basal	Klhl29
Basal	Cav1
Basal	Gpc3
Basal	Aqp9
Basal	Pard6g
Basal	Lgals1
Basal	Has2
Basal	Sdpr
Basal	Igfbp4
Basal	Tbx2
Basal	Mef2c
Basal	Lims2
Basal	Bnc1
Basal	Matn2
Basal	Mfng
Basal	Dst
Basal	Thsd1
Basal	Popdc2
Basal	Tmem204
Basal	Vgll3
Basal	Krt75
Basal	Il24
Basal	Col9a2
Basal	Slit2
Basal	4930583H14Rik
Basal	Prrx1
Basal	Pkd2
Basal	Leprel1
Basal	Sh3tc1
Basal	Mia1
Basal	Ankrd1
Basal	Lbh
Basal	Ccdc3
Basal	Col12a1
Basal	Slc27a6
Basal	Rhoj
Basal	Igfbp6
Basal	Slc2a3
Basal	Nrp1
Basal	Egr2
Basal	Trim9
Basal	Flrt2
Basal	Ppap2a
Basal	Plekha4
Basal	6330406I15Rik
Basal	Serpinf1
Basal	Tns1
Basal	Col23a1
Basal	Efcab1
Basal	Adamts2
Basal	Etv5
Basal	Plxna2
Basal	Crlf1
Basal	Pdgfa
Basal	Flnc
Basal	Slc38a5
Basal	Gnb4
Basal	Ptpre
Basal	Ltbp4
Basal	Fam101b
Basal	Pknox2
Basal	Thbs1
Basal	Agpat4
Basal	Lrp4
Basal	Vim
Basal	Nptx2
Basal	Akap2
Basal	Ctnnal1
Basal	Fam176a
Basal	Kank4
Basal	Ppp2r2b
Basal	Chst7
Basal	Epdr1
Basal	Krt16
Basal	Syde1
Basal	Tinagl1
Basal	Heg1
Basal	Svep1
Basal	Dock10
Basal	4632428N05Rik
Basal	Gem
Basal	Rcn3
Basal	Fhl1
Basal	Csrp2
Basal	Nt5e
Basal	Mical2
Basal	Col16a1
Basal	Clip3
Basal	Il1b
