Exp,Run_RNA,Run_epi,BC_RNA,BC_epi,Well,CD24_Brilliant Violet 421-A-Compensated,CD49f_PE-Cy7-A-Compensated,Live_dead_PE-A-Compensated,Lin_APC-A-Compensated,Plate,facs_phenotype
exp1,D1888,L539,D1888T0001,L539C001,A1,122825.8,5491.648,732.3869,313.2628,CreN_8724_pl1,luminal
exp1,D1888,L539,D1888T0002,L539C002,B1,31815.06,16758.58,540.3264,83.4467,CreN_8724_pl1,basal
exp1,D1888,L539,D1888T0003,L539C003,C1,22536.13,15425.34,214.6836,71.96478,CreN_8724_pl1,basal
exp1,D1888,L539,D1888T0004,L539C004,D1,18546.64,34633.45,301.3788,-6.604877,CreN_8724_pl1,basal
exp1,D1888,L539,D1888T0005,L539C005,E1,57575.13,30584.71,99.22392,231.4041,CreN_8724_pl1,basal
exp1,D1888,L539,D1888T0006,L539C006,F1,45938.36,19218.35,575.4016,262.5641,CreN_8724_pl1,basal
exp1,D1888,L539,D1888T0007,L539C007,G1,26765.97,21642.33,202.0648,60.47259,CreN_8724_pl1,basal
exp1,D1888,L539,D1888T0008,L539C008,H1,80716.85,1398.587,450.1237,577.0625,CreN_8724_pl1,luminal
exp1,D1888,L539,D1888T0009,L539C009,I1,12536.84,16305.25,430.3482,290.098,CreN_8724_pl1,basal
exp1,D1888,L539,D1888T0010,L539C010,J1,35480.03,18029.25,236.3291,132.6753,CreN_8724_pl1,basal
exp1,D1888,L539,D1888T0011,L539C011,K1,30567.87,30007.63,-355.3891,255.5066,CreN_8724_pl1,basal
exp1,D1888,L539,D1888T0012,L539C012,L1,16283.35,14295.45,-23.39477,142.0526,CreN_8724_pl1,basal
exp1,D1888,L539,D1888T0013,L539C013,M1,41434.12,14653.59,370.9268,-12.98826,CreN_8724_pl1,basal
exp1,D1888,L539,D1888T0014,L539C014,N1,214875,11455.85,626.5605,415.4895,CreN_8724_pl1,luminal
exp1,D1888,L539,D1888T0015,L539C015,O1,72881.66,16986.54,89.37869,283.0386,CreN_8724_pl1,basal
exp1,D1888,L539,D1888T0016,L539C016,P1,43785.93,66165.33,1349.973,1137.452,CreN_8724_pl1,basal
exp1,D1888,L539,D1888T0017,L539C017,A2,49571.53,4139.685,251.184,-8.08307,CreN_8724_pl1,luminal
exp1,D1888,L539,D1888T0018,L539C018,B2,32726.76,9518.075,340.0039,3117.475,CreN_8724_pl1,basal
exp1,D1888,L539,D1888T0019,L539C019,C2,27340.89,31122.38,601.3547,551.9563,CreN_8724_pl1,basal
exp1,D1888,L539,D1888T0020,L539C020,D2,65228.55,2859.037,690.9997,212.3644,CreN_8724_pl1,luminal
exp1,D1888,L539,D1888T0021,L539C021,E2,24304.03,31361.73,1375.896,2615.647,CreN_8724_pl1,basal
exp1,D1888,L539,D1888T0022,L539C022,F2,81163.31,20403.89,107.9405,321.7445,CreN_8724_pl1,basal
exp1,D1888,L539,D1888T0023,L539C023,G2,103180.7,2689.109,378.8014,323.447,CreN_8724_pl1,luminal
exp1,D1888,L539,D1888T0024,L539C024,H2,97409.84,2451.246,-65.15778,128.5052,CreN_8724_pl1,luminal
exp1,D1888,L539,D1888T0025,L539C025,I2,62401.8,2756.482,355.0656,124.1552,CreN_8724_pl1,luminal
exp1,D1888,L539,D1888T0026,L539C026,J2,23778.85,27750.09,437.8,75.03403,CreN_8724_pl1,basal
exp1,D1888,L539,D1888T0027,L539C027,K2,44113.84,13227.11,140.0332,235.7782,CreN_8724_pl1,basal
exp1,D1888,L539,D1888T0028,L539C028,L2,98951,4889.25,-11.42672,167.6088,CreN_8724_pl1,luminal
exp1,D1888,L539,D1888T0029,L539C029,M2,48904.71,8930.064,538.6829,204.2419,CreN_8724_pl1,luminal
exp1,D1888,L539,D1888T0030,L539C030,N2,99094.91,6879.111,261.9198,106.8386,CreN_8724_pl1,luminal
exp1,D1888,L539,D1888T0031,L539C031,O2,6876.456,15685.42,-81.77937,243.5131,CreN_8724_pl1,basal
exp1,D1888,L539,D1888T0032,L539C032,P2,22897.03,11495.58,-161.3233,118.8845,CreN_8724_pl1,basal
exp1,D1888,L539,D1888T0033,L539C033,A3,10807.66,10965.96,46.3508,2753.477,CreN_8724_pl1,basal
exp1,D1888,L539,D1888T0034,L539C034,B3,78285.81,16893.8,243.7716,82.80235,CreN_8724_pl1,basal
exp1,D1888,L539,D1888T0035,L539C035,C3,51228.91,25937.72,470.8887,386.8267,CreN_8724_pl1,basal
exp1,D1888,L539,D1888T0036,L539C036,D3,30404.79,31555.02,-373.5451,349.1803,CreN_8724_pl1,basal
exp1,D1888,L539,D1888T0037,L539C037,E3,31142,29759.39,571.6935,596.2183,CreN_8724_pl1,basal
exp1,D1888,L539,D1888T0038,L539C038,F3,22640.56,21093.53,615.9578,278.914,CreN_8724_pl1,basal
exp1,D1888,L539,D1888T0039,L539C039,G3,94026.91,33663.86,357.3032,153.7173,CreN_8724_pl1,basal
exp1,D1888,L539,D1888T0040,L539C040,H3,26342.49,30378.76,579.4652,3.556751,CreN_8724_pl1,basal
exp1,D1888,L539,D1888T0041,L539C041,I3,108426.5,4547.41,106.995,-48.20453,CreN_8724_pl1,luminal
exp1,D1888,L539,D1888T0042,L539C042,J3,122840.9,3621.674,350.9768,306.14,CreN_8724_pl1,luminal
exp1,D1888,L539,D1888T0043,L539C043,K3,14232.02,16657.64,296.3828,263.7211,CreN_8724_pl1,basal
exp1,D1888,L539,D1888T0044,L539C044,L3,36655.55,15102.42,284.8181,62.51954,CreN_8724_pl1,basal
exp1,D1888,L539,D1888T0045,L539C045,M3,46963.47,1545.613,18.2999,225.6969,CreN_8724_pl1,luminal
exp1,D1888,L539,D1888T0046,L539C046,N3,48990.98,25471.88,288.0307,362.2216,CreN_8724_pl1,basal
exp1,D1888,L539,D1888T0047,L539C047,O3,67777.08,3965.907,100.3862,156.9162,CreN_8724_pl1,luminal
exp1,D1888,L539,D1888T0048,L539C048,P3,30825.35,27119.06,409.5321,318.2264,CreN_8724_pl1,basal
exp1,D1888,L539,D1888T0049,L539C049,A4,15349.59,16862.15,-34.24215,133.8771,CreN_8724_pl1,basal
exp1,D1888,L539,D1888T0050,L539C050,B4,58648.41,19539.57,244.863,406.468,CreN_8724_pl1,basal
exp1,D1888,L539,D1888T0051,L539C051,C4,49495.86,28306.41,269.7695,122.9658,CreN_8724_pl1,basal
exp1,D1888,L539,D1888T0052,L539C052,D4,41584.83,43463.69,530.7983,249.2535,CreN_8724_pl1,basal
exp1,D1888,L539,D1888T0053,L539C053,E4,48172.62,28556.6,162.9957,287.3163,CreN_8724_pl1,basal
exp1,D1888,L539,D1888T0054,L539C054,F4,17615.74,12750.79,15.19225,220.4249,CreN_8724_pl1,basal
exp1,D1888,L539,D1888T0055,L539C055,G4,68772.79,16605.36,526.1078,294.9503,CreN_8724_pl1,basal
exp1,D1888,L539,D1888T0056,L539C056,H4,17720.82,19240.76,285.8333,940.8668,CreN_8724_pl1,basal
exp1,D1888,L539,D1888T0057,L539C057,I4,45507.59,10624.25,370.3871,231.5303,CreN_8724_pl1,basal
exp1,D1888,L539,D1888T0058,L539C058,J4,26661.56,22386.85,134.5449,99.31255,CreN_8724_pl1,basal
exp1,D1888,L539,D1888T0059,L539C059,K4,35654.18,15732.05,60.13807,113.7342,CreN_8724_pl1,basal
exp1,D1888,L539,D1888T0060,L539C060,L4,6890.988,24607.95,476.3748,58.57936,CreN_8724_pl1,basal
