Run_RNA,Run_epi,BC_epi,BC_RNA,Exp,Plate,Well,FSC.A,FSC.W,FSC.H,SSC.A,SSC.W,SSC.H,CD29_Yel.Gr.C.610_20.A,EpCAM_Yel.Gr.A.780_60.A,Live_dead_Red.A.780_60.A,Lin_Violet.E.525_50.A,Sca1_Violet.C.670_30.A,Tspan8_UV.C.379_28.A,facs_phenotype,facs_phenotype_expanded
P108,N253,p1-A01-basal-Tspan8-neg_K4-F9739,P108T0001_basal-Tspan8-neg,exp4,p1,A01,157648.6875,89922.65625,114895,108577.7031,85071.82813,83644,78252.9238,7329.978224,114.5109687,267.7310264,194.6080876,963.6682388,basal,basal-Tspan8-neg
P108,N253,p1-B01-basal-Tspan8-neg-K4-F9739,P108T0002_basal-Tspan8-neg,exp4,p1,B01,106680.8438,87360.1875,80030,104199.7031,86463.89844,78979,40952.66679,5129.518182,34.72413431,98.65171027,428.3660421,225.9121364,basal,basal-Tspan8-neg
P108,N253,p1-C01-basal-Tspan8-neg-K4-F9739,P108T0003_basal-Tspan8-neg,exp4,p1,C01,83126.53906,85023.27344,64074,148654,90107,108118,68191.69897,4762.061187,32.61754592,1155.888961,-42.91969068,2014.888232,basal,basal-Tspan8-neg
P108,N253,p1-D01-basal-Tspan8-neg-K4-F9739,P108T0004_basal-Tspan8-neg,exp4,p1,D01,125766.3438,90981.79688,90592,148446.1094,89387.36719,108836,20809.37823,2023.296599,432.6588632,3512.492233,113.0833046,1103.185661,basal,basal-Tspan8-neg
P108,N253,p1-E01-basal-Tspan8-neg-K4-F9739,P108T0005_basal-Tspan8-neg,exp4,p1,E01,161936.1875,95007.74219,111703,218769.1094,93211.61719,153814,72440.35893,5186.518169,127.2064874,1183.429961,595.8772677,2157.881522,basal,basal-Tspan8-neg
P108,N253,p1-F01-basal-Tspan8-neg-K27-F9739,P108T0006_basal-Tspan8-neg,exp4,p1,F01,127059.9453,93175.5,89369,175345.5,102063.6016,112591,108747.4063,7612.633466,423.9907643,257.1606533,501.0670863,-165.6100806,basal,basal-Tspan8-neg
P108,N253,p1-G01-basal-Tspan8-neg-K27-F9739,P108T0007_basal-Tspan8-neg,exp4,p1,G01,148463.1406,84689.86719,114886,86500.70313,76089.69531,74503,25742.34903,2129.847644,21.53653986,887.0471027,56.80872708,205.3396385,basal,basal-Tspan8-neg
P108,N253,p1-H01-basal-Tspan8-neg-K27-F9739,P108T0008_basal-Tspan8-neg,exp4,p1,H01,88244.10156,94736.10156,61045,48305.40234,122746.0234,25791,11985.25759,4439.397704,24.87847555,561.6169025,465.1553535,457.8185628,basal,basal-Tspan8-neg
P108,N253,p1-I01-basal-Tspan8-neg-K27-F9739,P108T0009_basal-Tspan8-neg,exp4,p1,I01,187412.2656,90409.04688,135852,125639.8047,89598.57813,91898,105099.4896,10890.65702,261.0233816,1628.018424,1079.764986,460.3046141,basal,basal-Tspan8-neg
P108,N253,p1-A02-basal-Tspan8-neg-K4-F9739,P108T0010_basal-Tspan8-neg,exp4,p1,A02,87351.32031,93139.88281,61463,202995.1094,96849.14063,137363,66472.74044,10816.38705,79.15795245,1327.455719,501.1857319,318.9452543,basal,basal-Tspan8-neg
P108,N253,p1-B02-basal-Tspan8-neg-K4-F9739,P108T0011_basal-Tspan8-neg,exp4,p1,B02,79982.70313,85255.22656,61483,119673.4063,95020.73438,82539,61469.7068,9303.602737,89.73268719,1508.946233,-113.8993172,-47.17891366,basal,basal-Tspan8-neg
P108,N253,p1-C02-basal-Tspan8-neg-K4-F9739,P108T0012_basal-Tspan8-neg,exp4,p1,C02,89357.38281,82760.40625,70760,106340.3047,86707.53125,80375,64982.41746,3965.29176,129.8882849,1335.472919,24.07740085,1324.735115,basal,basal-Tspan8-neg
P108,N253,p1-D02-basal-Tspan8-neg-K4-F9739,P108T0013_basal-Tspan8-neg,exp4,p1,D02,116154.5,85158.3125,89390,127804.6016,86157.50781,97215,47056.97055,3945.824514,67.13130605,624.5364709,221.0777618,193.0928198,basal,basal-Tspan8-neg
P108,N253,p1-E02-basal-Tspan8-neg-K4-F9739,P108T0014_basal-Tspan8-neg,exp4,p1,E02,222812.7969,105778.9844,138045,197076,87776.84375,147141,111517.9521,4232.897907,493.9357111,2184.806922,1190.631447,38.92304839,basal,basal-Tspan8-neg
P108,N253,p1-F02-basal-Tspan8-neg-K27-F9739,P108T0015_basal-Tspan8-neg,exp4,p1,F02,119291.4844,88677.375,88161,142474.2031,92493.21875,100950,63484.67625,5189.994907,402.1901504,325.2546142,-85.43349555,1051.375461,basal,basal-Tspan8-neg
P108,N253,p1-G02-basal-Tspan8-neg-K27-F9739,P108T0016_basal-Tspan8-neg,exp4,p1,G02,153064.25,88357.42969,113530,124901.7031,90778.16406,90171,66630.49716,3324.890285,160.0176751,755.4787152,260.5048689,326.7024416,basal,basal-Tspan8-neg
P108,N253,p1-H02-basal-Tspan8-neg-K27-F9739,P108T0017_basal-Tspan8-neg,exp4,p1,H02,77561.125,86550.875,58729,128389.8047,85976.28125,97866,30954.43263,2143.021229,142.4291646,617.3764123,567.6579191,329.1373245,basal,basal-Tspan8-neg
P108,N253,p1-I02-basal-Tspan8-neg-K27-F9739,P108T0018_basal-Tspan8-neg,exp4,p1,I02,151697.1406,87263.875,113926,96748.30469,85934.39063,73783,85806.5594,4674.485236,363.8184696,60.81261917,40.47038548,128.9353659,basal,basal-Tspan8-neg
P108,N253,p1-A03-basal-Tspan8-neg-K4-F9739,P108T0019_basal-Tspan8-neg,exp4,p1,A03,184947.5625,91743.73438,132115,132755.7031,87950.89063,98922,54926.75365,7067.921649,136.8900578,328.4744069,1028.71522,2014.814341,basal,basal-Tspan8-neg
