Brilliant Violet 421-A-Compensated,PE-Cy7-A-Compensated,Index,Plate,CB
122825.8,5491.648,A1,CreN_8724_pl1,L539C001
31815.06,16758.58,B1,CreN_8724_pl1,L539C002
22536.13,15425.34,C1,CreN_8724_pl1,L539C003
18546.64,34633.45,D1,CreN_8724_pl1,L539C004
57575.13,30584.71,E1,CreN_8724_pl1,L539C005
45938.36,19218.35,F1,CreN_8724_pl1,L539C006
26765.97,21642.33,G1,CreN_8724_pl1,L539C007
80716.85,1398.587,H1,CreN_8724_pl1,L539C008
12536.84,16305.25,I1,CreN_8724_pl1,L539C009
35480.03,18029.25,J1,CreN_8724_pl1,L539C010
30567.87,30007.63,K1,CreN_8724_pl1,L539C011
16283.35,14295.45,L1,CreN_8724_pl1,L539C012
41434.12,14653.59,M1,CreN_8724_pl1,L539C013
214875,11455.85,N1,CreN_8724_pl1,L539C014
72881.66,16986.54,O1,CreN_8724_pl1,L539C015
43785.93,66165.33,P1,CreN_8724_pl1,L539C016
49571.53,4139.685,A2,CreN_8724_pl1,L539C017
32726.76,9518.075,B2,CreN_8724_pl1,L539C018
27340.89,31122.38,C2,CreN_8724_pl1,L539C019
65228.55,2859.037,D2,CreN_8724_pl1,L539C020
24304.03,31361.73,E2,CreN_8724_pl1,L539C021
81163.31,20403.89,F2,CreN_8724_pl1,L539C022
103180.7,2689.109,G2,CreN_8724_pl1,L539C023
97409.84,2451.246,H2,CreN_8724_pl1,L539C024
62401.8,2756.482,I2,CreN_8724_pl1,L539C025
23778.85,27750.09,J2,CreN_8724_pl1,L539C026
44113.84,13227.11,K2,CreN_8724_pl1,L539C027
98951,4889.25,L2,CreN_8724_pl1,L539C028
48904.71,8930.064,M2,CreN_8724_pl1,L539C029
99094.91,6879.111,N2,CreN_8724_pl1,L539C030
6876.456,15685.42,O2,CreN_8724_pl1,L539C031
22897.03,11495.58,P2,CreN_8724_pl1,L539C032
10807.66,10965.96,A3,CreN_8724_pl1,L539C033
78285.81,16893.8,B3,CreN_8724_pl1,L539C034
51228.91,25937.72,C3,CreN_8724_pl1,L539C035
30404.79,31555.02,D3,CreN_8724_pl1,L539C036
31142,29759.39,E3,CreN_8724_pl1,L539C037
22640.56,21093.53,F3,CreN_8724_pl1,L539C038
94026.91,33663.86,G3,CreN_8724_pl1,L539C039
26342.49,30378.76,H3,CreN_8724_pl1,L539C040
108426.5,4547.41,I3,CreN_8724_pl1,L539C041
122840.9,3621.674,J3,CreN_8724_pl1,L539C042
14232.02,16657.64,K3,CreN_8724_pl1,L539C043
36655.55,15102.42,L3,CreN_8724_pl1,L539C044
46963.47,1545.613,M3,CreN_8724_pl1,L539C045
48990.98,25471.88,N3,CreN_8724_pl1,L539C046
67777.08,3965.907,O3,CreN_8724_pl1,L539C047
30825.35,27119.06,P3,CreN_8724_pl1,L539C048
15349.59,16862.15,A4,CreN_8724_pl1,L539C049
58648.41,19539.57,B4,CreN_8724_pl1,L539C050
49495.86,28306.41,C4,CreN_8724_pl1,L539C051
41584.83,43463.69,D4,CreN_8724_pl1,L539C052
48172.62,28556.6,E4,CreN_8724_pl1,L539C053
17615.74,12750.79,F4,CreN_8724_pl1,L539C054
68772.79,16605.36,G4,CreN_8724_pl1,L539C055
17720.82,19240.76,H4,CreN_8724_pl1,L539C056
45507.59,10624.25,I4,CreN_8724_pl1,L539C057
26661.56,22386.85,J4,CreN_8724_pl1,L539C058
35654.18,15732.05,K4,CreN_8724_pl1,L539C059
6890.988,24607.95,L4,CreN_8724_pl1,L539C060
47801.64,35303.12,M4,CreN_8724_pl1,L539C061
282356.7,37401.46,N4,CreN_8724_pl1,L539C062
42906.95,24604.85,O4,CreN_8724_pl1,L539C063
116126.8,3863.488,P4,CreN_8724_pl1,L539C064
42132,19314.84,A5,CreN_8724_pl1,L539C065
13882.36,11200.02,B5,CreN_8724_pl1,L539C066
150835.9,7025.497,C5,CreN_8724_pl1,L539C067
19231.78,20659.29,D5,CreN_8724_pl1,L539C068
8122.923,10417.15,E5,CreN_8724_pl1,L539C069
38934.66,33536.14,F5,CreN_8724_pl1,L539C070
154875.3,4513.161,G5,CreN_8724_pl1,L539C071
46427.41,34398.94,H5,CreN_8724_pl1,L539C072
81182.38,21402.26,I5,CreN_8724_pl1,L539C073
18108.91,22519.54,J5,CreN_8724_pl1,L539C074
43165.59,2782.198,K5,CreN_8724_pl1,L539C075
122070.6,5428.043,L5,CreN_8724_pl1,L539C076
14729.12,22774.49,M5,CreN_8724_pl1,L539C077
21251.13,30937.71,N5,CreN_8724_pl1,L539C078
48614.73,19641.66,O5,CreN_8724_pl1,L539C079
85744.84,6158.04,P5,CreN_8724_pl1,L539C080
117664.8,3417.54,A6,CreN_8724_pl1,L539C081
22352.05,24246.33,B6,CreN_8724_pl1,L539C082
111698.5,7797.141,C6,CreN_8724_pl1,L539C083
16125.11,23156.15,D6,CreN_8724_pl1,L539C084
19828.36,27144.37,E6,CreN_8724_pl1,L539C085
39232.98,10627.81,F6,CreN_8724_pl1,L539C086
65452.26,23729.68,G6,CreN_8724_pl1,L539C087
58888.34,36382.25,H6,CreN_8724_pl1,L539C088
30280.29,28914.68,I6,CreN_8724_pl1,L539C089
42375.89,14596.71,J6,CreN_8724_pl1,L539C090
44405.86,2516.703,K6,CreN_8724_pl1,L539C091
22989.81,31741.09,L6,CreN_8724_pl1,L539C092
13573.52,16449.91,M6,CreN_8724_pl1,L539C093
