Exp,Run_RNA,Run_epi,BC_RNA,plateform_code_rna,bio_name_rna,Well,BC_epi,Plate,Well,FSC-A,FSC-W,FSC-H,SSC-A,SSC-W,SSC-H,FITC-A,Tomato-A,APC-A,APC-Cy7-A,DAPI-A,Alexa Fluor 700-A,facs_phenotype
exp6,N248,N232,N248T0119_p1-Day0-BCP13-cell,T0119_p1-Day0-BCP13-cell,p1-Day0-BCP13-cell-K4-A01,A01,p1-Day0-BCP13-cell-K4-A01,p1,A01,47082.49219,89877.89844,34331,37949.3125,87618.32813,28385,8884.162111,51.65892314,577.046328,859.298959,2028.402164,3260.089586,basal
exp6,N248,N232,N248T0120_p1-Day0-BCP13-cell,T0120_p1-Day0-BCP13-cell,p1-Day0-BCP13-cell-K4-A02,A02,p1-Day0-BCP13-cell-K4-A02,p1,A02,35797.58203,89324.9375,26264,119774.6328,94762.41406,82834,8261.608233,215.7343489,24.26216251,594.302153,697.7163541,7680.6548,basal
exp6,N248,N232,N248T0121_p1-Day0-BCP13-cell,T0121_p1-Day0-BCP13-cell,p1-Day0-BCP13-cell-K4-A03,A03,p1-Day0-BCP13-cell-K4-A03,p1,A03,49974.47266,87241.34375,37541,36949.24219,85957.39063,28171,5603.212861,110.3035044,800.4787631,1125.385198,487.4574801,5522.247831,basal
exp6,N248,N232,N248T0122_p1-Day0-BCP13-cell,T0122_p1-Day0-BCP13-cell,p1-Day0-BCP13-cell-K4-A04,A04,p1-Day0-BCP13-cell-K4-A04,p1,A04,57755.88281,87534.73438,43241,59708.35156,87573.49219,44683,13217.90786,117.2144478,258.8356021,809.4647678,1057.126944,7614.928292,basal
exp6,N248,N232,N248T0123_p1-Day0-BCP13-cell,T0123_p1-Day0-BCP13-cell,p1-Day0-BCP13-cell-K4-A05,A05,p1-Day0-BCP13-cell-K4-A05,p1,A05,34624.58984,87497.39063,25934,124217.2344,82820.75781,98293,15020.44144,153.7531726,738.9164776,2238.307741,790.1877923,9115.079725,basal
exp6,N248,N232,N248T0124_p1-Day0-BCP13-cell,T0124_p1-Day0-BCP13-cell,p1-Day0-BCP13-cell-K4-A06,A06,p1-Day0-BCP13-cell-K4-A06,p1,A06,42251.30078,103614.0313,26724,101951.8516,98519.83594,67819,8008.475213,128.894213,520.3029097,1132.678006,732.6945764,9446.35404,basal
exp6,N248,N232,N248T0125_p1-Day0-BCP13-cell,T0125_p1-Day0-BCP13-cell,p1-Day0-BCP13-cell-K4-A07,A07,p1-Day0-BCP13-cell-K4-A07,p1,A07,39828.88281,99577.52344,26213,102216.6641,99810.34375,67116,11479.80139,213.6795417,241.9316902,917.2046465,3777.636869,5594.241765,basal
exp6,N248,N232,N248T0126_p1-Day0-BCP13-cell,T0126_p1-Day0-BCP13-cell,p1-Day0-BCP13-cell-K4-A08,A08,p1-Day0-BCP13-cell-K4-A08,p1,A08,44756.53125,84643.875,34653,40425.72266,85592.35938,30953,8764.217816,114.5509841,368.9670475,2481.164223,1079.836358,5195.470286,basal
exp6,N248,N232,N248T0127_p1-Day0-BCP13-cell,T0127_p1-Day0-BCP13-cell,p1-Day0-BCP13-cell-K4-A09,A09,p1-Day0-BCP13-cell-K4-A09,p1,A09,60281.13281,101252.8984,39017,71202.85156,97375.89063,47921,12585.58628,394.2371586,391.2027464,1453.11874,4033.935583,6260.281263,basal
exp6,N248,N232,N248T0128_p1-Day0-BCP13-cell,T0128_p1-Day0-BCP13-cell,p1-Day0-BCP13-cell-K4-A10,A10,p1-Day0-BCP13-cell-K4-A10,p1,A10,44694.65234,83081.14844,35256,43744.08984,84295.70313,34009,12652.9644,151.5552144,236.505981,1220.438002,3444.566704,4389.167765,basal
exp6,N248,N232,N248T0129_p1-Day0-BCP13-cell,T0129_p1-Day0-BCP13-cell,p1-Day0-BCP13-cell-K4-A11,A11,p1-Day0-BCP13-cell-K4-A11,p1,A11,57400.98047,108469.4922,34681,71455.05469,106693.375,43891,6535.53424,107.8297116,404.6372795,744.1096613,3519.67939,4055.675126,basal
exp6,N248,N232,N248T0130_p1-Day0-BCP13-cell,T0130_p1-Day0-BCP13-cell,p1-Day0-BCP13-cell-K4-A12,A12,p1-Day0-BCP13-cell-K4-A12,p1,A12,19346.59961,81421.70313,15572,80754.44531,86334.79688,61300,11940.95953,46.9494034,1264.535654,820.1124175,444.3653006,3512.872752,basal
exp6,N248,N232,N248T0143_p1-Day0-BCP13-cell,T0143_p1-Day0-BCP13-cell,p1-Day0-BCP13-cell-K4-B01,B01,p1-Day0-BCP13-cell-K4-B01,p1,B01,59307.43359,98170.64063,39592,78955.09375,98413.80469,52578,12286.36539,-430.847593,-333.2996166,2576.957931,741.4507893,5129.553942,basal
exp6,N248,N232,N248T0144_p1-Day0-BCP13-cell,T0144_p1-Day0-BCP13-cell,p1-Day0-BCP13-cell-K4-B02,B02,p1-Day0-BCP13-cell-K4-B02,p1,B02,39124.54297,81772.74219,31356,32954.78125,74293.92969,29070,3315.890352,80.95126534,72.36686503,485.346443,698.9172541,2155.490856,basal
exp6,N248,N232,N248T0145_p1-Day0-BCP13-cell,T0145_p1-Day0-BCP13-cell,p1-Day0-BCP13-cell-K4-B03,B03,p1-Day0-BCP13-cell-K4-B03,p1,B03,86813.09375,129160.3281,44049,128521.125,122000.0313,69039,13764.17211,186.674652,2340.60287,2071.368707,2492.455555,14631.90292,basal
exp6,N248,N232,N248T0146_p1-Day0-BCP13-cell,T0146_p1-Day0-BCP13-cell,p1-Day0-BCP13-cell-K4-B04,B04,p1-Day0-BCP13-cell-K4-B04,p1,B04,38754.17188,80340.15625,31613,25731.19141,82235.41406,20506,7565.540357,34.81292084,90.71603213,938.2083373,1544.175858,1746.691044,basal
exp6,N248,N232,N248T0147_p1-Day0-BCP13-cell,T0147_p1-Day0-BCP13-cell,p1-Day0-BCP13-cell-K4-B05,B05,p1-Day0-BCP13-cell-K4-B05,p1,B05,42830.0625,80581.94531,34833,39043.47266,86246.22656,29668,7398.882282,86.40396145,504.9671631,2470.569299,1799.209591,3616.505303,basal
exp6,N248,N232,N248T0148_p1-Day0-BCP13-cell,T0148_p1-Day0-BCP13-cell,p1-Day0-BCP13-cell-K4-B06,B06,p1-Day0-BCP13-cell-K4-B06,p1,B06,69746.03906,124993.2031,36569,117852.0938,109057.4141,70821,20941.70031,187.2872026,611.6445262,3597.214867,1269.882931,12164.44416,basal
exp6,N248,N232,N248T0149_p1-Day0-BCP13-cell,T0149_p1-Day0-BCP13-cell,p1-Day0-BCP13-cell-K4-B07,B07,p1-Day0-BCP13-cell-K4-B07,p1,B07,23000.25,89430.10938,16855,52267.48047,83752.69531,40899,4215.35278,103.5581621,354.04409,844.0482,888.3926373,6345.850226,basal
exp6,N248,N232,N248T0150_p1-Day0-BCP13-cell,T0150_p1-Day0-BCP13-cell,p1-Day0-BCP13-cell-K4-B08,B08,p1-Day0-BCP13-cell-K4-B08,p1,B08,52232.17969,93031.33594,36795,42141.65234,94459.10938,29238,16640.31705,96.11390009,606.8102574,2327.154524,1297.20883,6989.305288,basal
exp6,N248,N232,N248T0151_p1-Day0-BCP13-cell,T0151_p1-Day0-BCP13-cell,p1-Day0-BCP13-cell-K4-B09,B09,p1-Day0-BCP13-cell-K4-B09,p1,B09,43712.76172,95086.28125,30128,51273.23047,91782.32031,36611,11363.61082,55.50391258,624.1043774,786.1094147,2943.090681,4530.779845,basal
exp6,N248,N232,N248T0152_p1-Day0-BCP13-cell,T0152_p1-Day0-BCP13-cell,p1-Day0-BCP13-cell-K4-B10,B10,p1-Day0-BCP13-cell-K4-B10,p1,B10,54465.32031,87742.16406,40681,41378.26172,83534.04688,32463,8246.115923,66.49164226,-19.27913831,1299.045709,907.1452199,4641.102291,basal
exp6,N248,N232,N248T0153_p1-Day0-BCP13-cell,T0153_p1-Day0-BCP13-cell,p1-Day0-BCP13-cell-K4-B11,B11,p1-Day0-BCP13-cell-K4-B11,p1,B11,46333.5625,86355.4375,35163,51296.51172,88518.83594,37978,5284.364188,38.64382491,292.7535544,1062.517199,3155.305009,3439.385468,basal
exp6,N248,N232,N248T0154_p1-Day0-BCP13-cell,T0154_p1-Day0-BCP13-cell,p1-Day0-BCP13-cell-K4-B12,B12,p1-Day0-BCP13-cell-K4-B12,p1,B12,38532.13281,81733.61719,30896,39080.33203,79381.61719,32264,2790.418053,33.10124116,311.8454473,450.9068473,1706.356472,2691.198177,basal
exp6,N248,N232,N248T0167_p1-Day0-BCP13-cell,T0167_p1-Day0-BCP13-cell,p1-Day0-BCP13-cell-K4-C01,C01,p1-Day0-BCP13-cell-K4-C01,p1,C01,22430.58984,83315.07031,17644,92726.17969,85358.14844,71193,12512.26908,119.5252744,445.2290251,1544.411815,1134.131011,4764.866895,basal
exp6,N248,N232,N248T0168_p1-Day0-BCP13-cell,T0168_p1-Day0-BCP13-cell,p1-Day0-BCP13-cell-K4-C02,C02,p1-Day0-BCP13-cell-K4-C02,p1,C02,84407.96094,129282.9766,42788,150565.3438,132436.5625,74507,31031.36244,194.8048357,1871.223067,4246.477482,1853.7672,15990.42322,basal
exp6,N248,N232,N248T0169_p1-Day0-BCP13-cell,T0169_p1-Day0-BCP13-cell,p1-Day0-BCP13-cell-K4-C03,C03,p1-Day0-BCP13-cell-K4-C03,p1,C03,67299.05469,116809.9766,37758,119342.0156,108166.5469,72307,40322.79689,301.8835792,1546.240217,4357.9488,3221.040464,16093.45607,basal
exp6,N248,N232,N248T0170_p1-Day0-BCP13-cell,T0170_p1-Day0-BCP13-cell,p1-Day0-BCP13-cell-K4-C04,C04,p1-Day0-BCP13-cell-K4-C04,p1,C04,66081.46875,121909.5625,35524,51776.66016,116854.9922,29038,17596.61611,178.4339131,1316.666078,1627.513666,1286.934104,7129.301086,basal
exp6,N248,N232,N248T0171_p1-Day0-BCP13-cell,T0171_p1-Day0-BCP13-cell,p1-Day0-BCP13-cell-K4-C05,C05,p1-Day0-BCP13-cell-K4-C05,p1,C05,36895.04297,89686.70313,26960,71639.35156,83680.10938,56106,7170.409864,114.5894998,463.0660146,805.2047705,630.0521725,5889.955551,basal
