#'chr'	'start'	'end'	'D1535_D1480C05_H3K27me3_bulk_r1'	'D1535_D1480C06_H3K27me3_bulk_r2'	'GSM7645437_H3K27me3_zygote.mm10'	'L548_Zygote_rH3K27me3'	'L548_Zygote_4_rH3K27me3_pA_Cell1'	'L548_Zygote_5_rH3K27me3_pA_Cell6'	'L548_Zygote_rH3K4me1'	'L548_Zygote_4_rH3K4me1_pA_Cell5'	'L548_Zygote_5_rH3K4me1_pA_Cell10'	'GSM7645420_H3K4me1_zygote.mm10'	'D1888_Zygotes_all_rH3K27me3_RNA_pseudobulk'	'D1888_Zygotes_all_rH3K4me1_RNA_pseudobulk'
chr4_JH584294_random	0	191905	0.0	0.0	0.0	0.0	0.0	0.0	0.0017089705398769086	0.010483994206524712	0.0	0.0	0.0	0.0
chrUn_GL456390	0	24668	0.0	0.0	0.05814820610183708	0.0	0.0	0.0	0.062196953323337044	0.0	0.417575023110303	0.025845629866977207	0.0	0.0
chrX_GL456233_random	0	336933	0.0	0.0	0.18582792224617914	0.015784167864976124	0.0	0.0	0.05526570590559733	0.040306353273035736	0.03698568340181876	0.21193151079461645	0.01965987263187251	0.016688717136523645
chr5_JH584297_random	0	205776	0.0	0.0	0.0	0.011486503423701623	0.0	0.0	0.006198001680936962	0.0	0.0	0.0	0.0010573944762950459	0.0009541922293724497
chrUn_GL456385	0	35240	0.0	0.0	0.19334278951032208	0.25152322010609673	0.0	0.0	0.07341770860583233	0.0	0.0	0.17865791537298922	0.04097223049822548	0.06792711286079328
chrUn_GL456239	0	40056	0.0	0.0	0.6231990910966834	0.9441370098729417	0.9021532495078485	0.0	0.6009524775665631	0.13812699669345974	0.4849607111904372	0.7183612071517844	0.00027788809156713073	0.019005653138334033
chr6	0	500000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr6	500000	1000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr6	1000000	1500000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr6	1500000	2000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr6	2000000	2500000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr6	2500000	3000000	0.0010304126892089845	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr6	3000000	3500000	0.03506646434020996	0.040319408007621765	0.15696950423229084	0.09614330375118046	0.0854138984375	0.0	0.12481156840869634	0.11519583250245502	0.15586254524081966	0.21822493187583367	0.6418502355765672	0.47260780876449465
chr6	3500000	4000000	0.0540912435760498	0.05343846856784821	0.37906301953280996	0.06604112840187157	0.0	0.03897119921875	0.10207501405658145	0.026844193705849277	0.09022946363373316	0.3359004878912205	0.008766392543253352	0.013065068965250207
chr6	4000000	4500000	0.10486528063964844	0.09213516902351379	0.5921250226325379	0.1323016462298862	0.09994790927665491	0.0911726436715288	0.12783473488424282	0.11568606979031378	0.12864745966829755	0.2894238020227944	0.0060056600813631145	0.004004967480489912
chr6	4500000	5000000	0.12275285302734375	0.09976449041509629	0.6213590260021467	0.4275321222918404	0.3490504373398259	0.28072939377282335	0.19040091770118173	0.22520537059532203	0.2167580119094592	0.3021768574159204	0.0006513892151664514	0.0004210149924912194
chr6	5000000	5500000	0.029649465118408203	0.029910168612003327	0.30464926005890575	0.0854978530097135	0.030633559633519204	0.0871057642011068	0.13605360704456676	0.13331249867250855	0.14448931020162564	0.3658583829420136	0.045629050642869505	0.03197236279161771
chr6	5500000	6000000	0.03877795962524414	0.037460493560791015	0.3630681786204573	0.17538092099732022	0.065703	0.1326531533759283	0.16241265948794587	0.1604160972424607	0.14388460861216332	0.4223376261834865	0.006232515754187693	0.011198519087826559
chr6	6000000	6500000	0.0349541311340332	0.036289704566717144	0.4359783351980581	0.14979961878418732	0.03539996994964053	0.1774436500976402	0.1614612280513879	0.2237962867698302	0.16446898271122684	0.40955687872165586	0.012757389416733727	0.030839408283425854
chr6	6500000	7000000	0.02736209619140625	0.04105508617138862	0.2869473974047774	0.05267256205157844	0.03687333473785946	0.08176611949034752	0.12197480826391353	0.12926865371677806	0.09009865360637626	0.3868268906994331	0.012227619011542835	0.019288457841024842
chr6	7000000	7500000	0.03192193154907227	0.03626102301669121	0.2629759828243561	0.07445489453125	0.0	0.0	0.10581208841466422	0.1059428003595413	0.13694293410340383	0.34524754387385664	0.008526080759036736	0.0068261948939164485
chr6	7500000	8000000	0.060925313232421875	0.05130083889603615	0.38954133038076577	0.11798849968418858	0.0854138984375	0.162379890625	0.16395779534480545	0.19342614493464508	0.19190126562499998	0.3762355852973752	0.007567968067982158	0.0075291414172150364
chr6	8000000	8500000	0.02131777688598633	0.02378995008790493	0.2638391454001722	0.06024587870771806	0.0	0.0	0.11718675752335365	0.06756184989991844	0.17429594371448864	0.43050554147413295	0.10437907547659953	0.07847023855740155
chr6	8500000	9000000	0.022276685272216795	0.030392302837491034	0.23510583373633437	0.05340308010418711	0.0	0.032476	0.1050731017912277	0.08107434156028255	0.1135004272411616	0.38962672374595086	0.14103675607779767	0.11531992529507941
chr6	9000000	9500000	0.040924294677734376	0.0400141941614151	0.3254524411847294	0.04748723155722626	0.091984203125	0.056425998581876746	0.07202854157819652	0.05298810551502907	0.08365306852706754	0.3269724834505407	0.0001741243335966204	4.605204114121522e-05
chr6	9500000	10000000	0.053190157470703124	0.05035319416570663	0.34449455654702477	0.06936303716188247	0.0606391698517799	0.08583296675231823	0.07269970576091728	0.08604527207226761	0.04565586478226273	0.30610934279874474	0.004182241418088069	0.0036940816681915243
chr6	10000000	10500000	0.07114314880371093	0.06332389457964897	0.42190463769999254	0.10296732374311653	0.04102044839547321	0.07857769091580502	0.06922678390256323	0.07687327759048919	0.07612396431436763	0.28056915985405156	0.0001744414423840945	0.00039992394390309506
chr6	10500000	11000000	0.04531573992919922	0.04366444042372704	0.27622322075460515	0.11765058871464751	0.03631668253399688	0.12990389453125	0.08280423908919517	0.13072741882602637	0.14389448639717486	0.27038909627626007	0.12621727183457673	0.04887309210204616
chr6	11000000	11500000	0.03222207098388672	0.03573714832997322	0.2638529304347419	0.014888985506210447	0.0	0.0	0.08755768152903547	0.06239564474061945	0.09286298211772674	0.3263588461631216	0.018856305170653297	0.03954284063734748
chr6	11500000	12000000	0.04644237976074219	0.04151011335396767	0.2792244278451353	0.032380258087876826	0.0	0.0	0.08845844556773794	0.08629204860093687	0.026643446413187867	0.3034786336000024	0.04065131898463359	0.03291817017962212
chr6	12000000	12500000	0.027739810119628908	0.03252347921657562	0.23877209041627148	0.030673619662633683	0.019710900390625	0.0	0.10256112902030558	0.10470018322500237	0.1038884518097643	0.4113258002579852	0.05853220322471369	0.08131787569431556
chr6	12500000	13000000	0.05280449859619141	0.04863874091243744	0.3335952083712934	0.079182189453125	0.15607989615570014	0.0	0.10917947452491222	0.08159877498327024	0.0691477424636995	0.3318002272245826	0.009941467680618413	0.010285387045406092
chr6	13000000	13500000	0.03345883047485351	0.03394875174975395	0.28414669823594746	0.05638684552988864	0.0016073069692998604	0.0	0.11389670665764086	0.11541356071714236	0.10198896651903146	0.3782170986376507	0.0061903064543927305	0.0036669143809015437
chr6	13500000	14000000	0.03686433261108398	0.033397527592897415	0.3150782494633586	0.0486331125463369	0.0	0.0	0.1123828125184955	0.08533708085397988	0.07672120938716592	0.3664321559459407	0.016686467129285218	0.013936495516429576
chr6	14000000	14500000	0.08669555700683594	0.07041201566076279	0.49738936967102637	0.1373248463332148	0.008097649019455855	0.25905731762498974	0.0952955953603417	0.09621607518442331	0.0736459890851878	0.2993975256232285	0.0003674780384751617	0.000356112210290752
chr6	14500000	15000000	0.09012004418945313	0.06890553764295577	0.483336483994359	0.22807942590696134	0.11703037911305327	0.39468999595591253	0.10351097196328521	0.08937264181786143	0.09140306490852536	0.2744652706968726	0.005889752808764332	0.0006160485137110476
chr6	15000000	15500000	0.07318266693115234	0.059440087225437165	0.48089473435003993	0.09643900032730941	0.05467593628764243	0.17090581753459402	0.08970653112977925	0.16703672593686644	0.08840426571049032	0.3636389793805378	0.0019312082515612976	0.0004421836430083874
chr6	15500000	16000000	0.08886817791748047	0.07653569680452346	0.5284994045839158	0.191879610750926	0.17499223089234844	0.21457811107200372	0.11749258414898499	0.09004086240541251	0.06981412731481482	0.356463815794782	0.0037614293730385967	0.0016343061884521515
chr6	16000000	16500000	0.05133446563720703	0.04653577528643608	0.3213230376772165	0.07798830667665203	0.4097018316046237	0.0	0.08542108876546224	0.03300516610570831	0.1284599004563868	0.31814986342416157	0.0027270259898085087	0.0010317837448198665
chr6	16500000	17000000	0.03958679022216797	0.038038697518587114	0.29559348936389274	0.03219913045244202	0.004227074645376328	0.0	0.08151496265573212	0.038023265330249384	0.0827373863537721	0.3164822586096787	0.0011049638950282434	0.0007920610284306282
chr6	17000000	17500000	0.03350572821044922	0.03812780350351334	0.352383204263803	0.10340058579042155	0.030758844017057786	0.06371962856454128	0.13268600266581834	0.1611026698924247	0.1121170157696759	0.42962053131773414	0.00786186067027733	0.00624011291542014
chr6	17500000	18000000	0.0650258999633789	0.05579330908823013	0.4929207279353035	0.18388229046832077	0.11378776145169221	0.17660254331045872	0.17302907444932725	0.1789836946702852	0.17091828789194022	0.43058585002433963	0.026536275910420497	0.03554901032716325
chr6	18000000	18500000	0.032217435653686524	0.03222755603587627	0.2740537258136981	0.04923469365793944	0.05532185743519761	0.0	0.11255921409283262	0.1154918116007755	0.13081944849537036	0.4179614395751953	0.01320668429945336	0.02352666605579021
chr6	18500000	19000000	0.06042588954162598	0.048437809578061104	0.34414929520891574	0.1131978819394194	0.08922474608042738	0.11325498192245456	0.09663669771075008	0.043219821148121715	0.1103337811579335	0.35977613305366324	0.015892351099111995	0.0026841758269150126
chr6	19000000	19500000	0.06579874926757813	0.05106017755627632	0.3904228678520617	0.04250762576653257	0.02628119921875	0.10758166065567044	0.08045801374184966	0.07444122400106516	0.08401341941550926	0.30476970208963533	0.002463473519263697	0.00042266396103117813
chr6	19500000	20000000	0.0399620791015625	0.03483378866934776	0.2698864505322734	0.02179091969651442	0.0	0.05618936031101264	0.07732452982862066	0.0282738569194873	0.10958348037997159	0.33951575585751415	0.0016082690507466676	0.0032509092051299046
chr6	20000000	20500000	0.09728448596191407	0.07756309394216537	0.49838641257737626	0.12335703191918293	0.065703	0.10702948026808427	0.08192967396899908	0.09900455282173601	0.05482135075527409	0.24344484666033492	0.0015668812652884936	0.004128718801137551
