#'chr'	'start'	'end'	'D1535_D1480C05_cutran_zygotes_H3K27me3_1'	'D1535_D1480C06_cutran_zygotes_H3K27me3_2'	'L548_Zygote_4_rH3K27me3'	'L548_Zygote_5_rH3K27me3'	'SRR22286430_FGO_H3K27Ac_1'	'SRR22286444_FGO_H3K27Ac_2'	'L548_Zygote_4_rH3K27me3_pA_Cell1'	'L548_Zygote_4_rH3K27me3_pA_Cell2'	'L548_Zygote_4_rH3K27me3_pA_Cell3'	'L548_Zygote_4_rH3K27me3_pA_Cell4'	'L548_Zygote_5_rH3K27me3_pA_Cell1'	'L548_Zygote_5_rH3K27me3_pA_Cell3'	'L548_Zygote_5_rH3K27me3_pA_Cell4'	'L548_Zygote_5_rH3K27me3_pA_Cell5'	'L548_Zygote_5_rH3K27me3_pA_Cell6'	'L548_Zygote_5_rH3K27me3_pA_Cell7'	'L548_Zygote_5_rH3K27me3_pA_Cell8'
chr7	0	500000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr7	500000	1000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr7	1000000	1500000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr7	1500000	2000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr7	2000000	2500000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr7	2500000	3000000	0.007731957153320312	0.002543262762904167	0.0	0.028551783318792302	0.0003154268631182219	0.000413174656442849	0.010520832500569238	0.09765068165722379	0.0	0.0	0.046391885499900906	0.008940979963058144	0.0	0.0	0.057740414589487934	0.017573331668476633	0.0
chr7	3000000	3500000	0.04182329957962036	0.04684792514872551	0.37027609375	0.2363634128419346	0.04218482981701901	0.048623807699433294	0.1473838270802348	0.44511302172505757	0.29665823478698733	0.4884464019775391	0.2343727160625991	0.27454600831819187	0.4515570231215205	0.0	0.15341369794615747	0.17412529723777337	0.16009437789916992
chr7	3500000	4000000	0.02358836838912964	0.028878394253134727	0.03918264453125	0.06340148415027495	0.051557425257632614	0.07340151885085508	0.07737890619852628	0.02591523021146866	0.04362620906829834	0.10332520065307617	0.0	0.022550109375	0.009791730784729492	0.0	0.0031873679331045875	0.1460049647477906	0.16009424476623535
chr7	4000000	4500000	0.02517205770111084	0.03324011013221741	0.08228358984375	0.056382954588466754	0.06383206936484889	0.07859209804966938	0.07352054554879466	0.05832603125	0.0	0.1502911190032959	0.0	0.012852654292483135	0.0	0.0	0.0	0.22703252399804336	0.06740816497802735
chr7	4500000	5000000	0.01566639786529541	0.023589862490415572	0.20179066796875	0.15524738250405384	0.06332630734413548	0.08038446593649991	0.551905234375	0.1020705625	0.0	0.04696599960327148	0.004226416346986356	0.23321880545984078	0.21015360253497337	0.0	0.1851732848183879	0.23968193577975208	0.0
